epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.078,0.88429,2.59296,1.62197,0.9041,0.89647,0.94913,0.72507,0.85768,0.8231,1.54492,0.000255865,0.000255865,0.000255865
2,224.664,0.84908,1.11007,1.53836,0.86867,0.86685,0.93423,0.71458,0.86253,0.78445,1.53013,0.00046149,0.00046149,0.00046149
3,309.956,0.84011,0.74751,1.52127,0.93306,0.90423,0.95598,0.70658,0.92697,0.65212,1.61732,0.000616362,0.000616362,0.000616362
4,394.219,0.82771,0.60509,1.49909,0.89676,0.88498,0.95842,0.74176,0.84612,0.63658,1.51964,0.000540607,0.000540607,0.000540607
5,478.399,0.80671,0.52321,1.48503,0.96277,0.95617,0.97417,0.7712,0.79875,0.45739,1.47024,0.000464476,0.000464476,0.000464476
6,563.013,0.79834,0.46243,1.46881,0.96946,0.96077,0.97238,0.76211,0.79878,0.4284,1.47536,0.000388345,0.000388345,0.000388345
7,647.435,0.78259,0.4174,1.45372,0.95254,0.95839,0.97438,0.77889,0.80234,0.44733,1.46747,0.000312214,0.000312214,0.000312214
8,732.051,0.77207,0.38925,1.44199,0.96339,0.97091,0.9786,0.78188,0.77969,0.3798,1.44447,0.000236083,0.000236083,0.000236083
9,816.579,0.76315,0.36591,1.42842,0.97305,0.9773,0.98162,0.78995,0.7692,0.35686,1.42316,0.000159952,0.000159952,0.000159952
10,901.422,0.75054,0.34229,1.41707,0.97536,0.97737,0.98147,0.7858,0.7826,0.34404,1.43694,8.3821e-05,8.3821e-05,8.3821e-05
